Concept	correlation	BNC_freq	num_feats_tax	familiarity	tot_num_feats	polysemy
beehive	-0.0218404504806	92	8	5.10	94	4
pepper	0.00484747493599	1169	12	7.80	131	6
mat	0.0414433700544	858	13	6.85	96	10
sandpaper	0.0468245274156	62	12	5.75	135	2
pyramid	0.0814685111574	693	14	2.70	133	7
muzzle	0.0888075057422	241	8	3.25	85	7
hose	0.0901500004545	388	16	5.75	140	4
cage	0.0919026226622	1346	13	5.65	125	6
bouquet	0.0983418452374	367	8	6.05	93	2
marble	0.100607326726	1575	14	6.20	161	4
menu	0.117505728765	2046	8	8.05	104	4
level	0.123005604364	38894	9	4.95	70	19
telephone	0.124997249953	8551	12	8.85	122	3
pencil	0.126543460737	1451	16	8.60	196	5
kite	0.133053039061	958	14	5.20	134	8
stick	0.134513676292	5540	11	7.55	111	25
cork	0.135246118892	985	7	5.70	60	7
toilet	0.137197119262	2071	8	8.55	88	4
candle	0.147555281963	1590	14	7.70	163	3
wheel	0.14869307184	4313	10	8.20	130	11
certificate	0.161204336109	3728	12	6.95	119	4
barrel	0.163031524259	1438	11	5.05	107	6
worm	0.163698567648	1273	11	6.55	107	5
key	0.16392120853	14964	12	8.75	136	21
projector	0.167990307045	247	6	6.60	50	2
seal	0.169642914499	2025	17	2.90	148	15
football	0.170190832203	6735	15	6.10	144	2
tack	0.170831806844	580	13	6.40	123	12
bedroom	0.17751104159	5967	10	8.95	120	1
envelope	0.180369248741	1860	11	7.90	105	6
thermometer	0.181537550363	172	12	7.00	114	1
hut	0.183251885166	1620	6	3.25	66	2
chicken	0.184399706937	2579	20	7.95	180	5
rattle	0.188950201184	441	9	5.00	107	5
inn	0.189971788932	1877	10	5.55	91	1
surfboard	0.19141420411	33	12	3.90	116	2
box	0.191858766895	11653	14	7.80	145	13
coin	0.191933473182	2645	11	8.85	109	3
cigarette	0.196725994284	3614	13	5.20	114	1
rocket	0.198480352309	892	12	2.25	89	7
bathtub	0.198911170496	33	16	8.05	121	1
emerald	0.205152224429	345	12	4.05	143	3
doll	0.205281611362	1167	12	7.75	126	2
saddle	0.209112773348	848	9	3.75	116	9
helmet	0.213349864254	969	12	6.20	117	2
shell	0.214431208201	3236	8	6.20	70	18
ruler	0.216622910119	1580	18	7.75	192	2
armour	0.21679705172	897	11	2.45	132	4
pearl	0.216878884498	1070	15	5.10	138	4
banner	0.218976646944	900	13	6.10	94	4
clock	0.220296565395	3404	14	8.60	159	2
apron	0.221291117386	573	13	4.75	117	4
lantern	0.22149100137	367	12	5.30	92	1
crayon	0.222004268524	165	13	7.60	168	2
rock	0.222036962621	9703	12	7.85	98	9
balloon	0.222069054694	1036	18	7.05	166	4
buckle	0.224768427351	352	8	7.65	80	5
brick	0.226142014707	2832	9	7.40	106	2
pen	0.227486295278	2691	15	8.95	143	6
cottage	0.229806689952	4034	13	6.35	106	1
veil	0.231493829158	617	10	3.70	111	6
mug	0.232299561782	1078	14	8.60	138	5
magazine	0.239406813788	6418	14	8.15	131	6
tent	0.242163641915	1564	11	6.85	92	3
rope	0.243665765952	2165	12	6.90	102	4
ball	0.244507509987	9107	9	8.35	87	13
limousine	0.244546396859	228	19	4.10	212	1
toy	0.245421688755	2141	8	7.70	84	8
microscope	0.247647912098	680	13	5.70	107	1
crown	0.248953454257	5492	14	2.95	165	16
apartment	0.248997162304	1948	18	7.80	175	1
shack	0.251379206522	170	12	3.55	117	3
wand	0.256455045317	190	10	2.60	106	4
cigar	0.257016869314	704	11	4.60	126	1
napkin	0.257581585258	317	14	8.25	130	2
umbrella	0.258233115443	987	11	7.35	102	4
stone	0.261050318144	11527	11	7.40	103	16
whistle	0.261784616446	930	14	6.40	145	11
escalator	0.262618719731	141	11	7.35	119	2
book	0.264526413615	37980	16	8.80	148	15
dandelion	0.2650237183	189	13	6.40	147	1
birch	0.269728418177	469	10	5.50	102	5
rocker	0.269848379587	257	6	5.30	64	7
basket	0.271536823026	1830	9	6.90	96	4
radio	0.271572338599	9241	17	8.70	175	5
