domain	num_concepts	pearson_avg	wordnet_avg	encyclopaedic	function	smell	sound	tactile	taste	taxonomic	visual-colour	visual-form_and_surface	visual-motion
animals	103	0.48861263799028143	0.8485040016119996	26.844660194174757	8.776699029126213	0.10679611650485436	4.728155339805825	3.320388349514563	0.04854368932038835	30.718446601941746	11.398058252427184	49.320388349514566	23.16504854368932
biology	101	0.4774681554678117	0.8612499929043469	26.92079207920792	11.188118811881187	0.19801980198019803	3.3267326732673266	3.633663366336634	2.237623762376238	30.356435643564357	14.98019801980198	46.71287128712871	18.326732673267326
buildings	34	0.3233838542578383	0.3802413273001508	21.529411764705884	36.64705882352941	0.38235294117647056	0.5	5.5	1.1764705882352942	11.029411764705882	3.7941176470588234	51.529411764705884	1.1176470588235294
chemistry	38	0.5044896059578079	0.635512103271595	30.210526315789473	26.605263157894736	1.763157894736842	0.2894736842105263	6.105263157894737	8.026315789473685	22.789473684210527	20.0	30.473684210526315	3.710526315789474
entomology	13	0.40590726435469227	0.743224577280305	31.846153846153847	4.6923076923076925	0.0	1.5384615384615385	2.230769230769231	1.4615384615384615	21.46153846153846	17.76923076923077	39.84615384615385	23.23076923076923
fashion	35	0.5020378261854571	0.7369387755102041	22.37142857142857	35.94285714285714	0.2571428571428571	0.0	8.428571428571429	0.0	16.2	9.371428571428572	46.31428571428572	1.2857142857142858
food	13	0.5215894474477692	0.44672783643371883	28.076923076923077	24.23076923076923	1.6153846153846154	0.0	6.230769230769231	6.230769230769231	18.923076923076923	11.461538461538462	33.23076923076923	7.769230769230769
furniture	21	0.28508949978057135	0.210989010989011	28.666666666666668	50.476190476190474	0.0	1.6666666666666667	10.380952380952381	0.0	6.523809523809524	2.0	53.857142857142854	0.0
gastronomy	38	0.4643134762758421	0.6273089788533002	26.55263157894737	35.078947368421055	0.42105263157894735	0.9473684210526315	5.2631578947368425	6.5	21.342105263157894	19.42105263157895	36.73684210526316	1.0526315789473684
geology	4	0.17059490869845	0.23214285714285715	12.75	26.5	0.0	0.0	26.25	0.0	16.75	17.0	23.25	3.75
history	3	0.13221543551596668	0.16666666666666666	18.666666666666668	53.0	0.0	0.0	5.666666666666667	0.0	5.0	1.6666666666666667	49.0	0.0
home	7	0.33208678022085714	0.17782217782217782	31.857142857142858	53.857142857142854	0.0	0.7142857142857143	13.857142857142858	0.0	7.571428571428571	5.428571428571429	53.857142857142854	0.0
industry	4	0.399343198231	0.75	12.25	57.5	0.0	4.25	0.0	0.0	22.75	0.0	55.25	0.0
jewellery	4	0.201767494869675	0.12878787878787878	31.0	27.5	0.0	0.0	6.75	0.0	14.25	14.5	47.0	0.0
mechanics	7	0.2989457048796857	0.21496598639455783	30.428571428571427	34.714285714285715	0.0	0.8571428571428571	12.428571428571429	0.0	9.142857142857142	1.5714285714285714	56.142857142857146	1.2857142857142858
metrology	3	0.22434114548466666	0.32456140350877194	21.333333333333332	31.0	0.0	4.333333333333333	0.0	0.0	16.666666666666668	0.0	51.666666666666664	0.0
military	27	0.361644835361963	0.4937309603976271	20.40740740740741	38.7037037037037	0.0	7.62962962962963	5.555555555555555	0.0	16.444444444444443	3.5925925925925926	31.77777777777778	4.037037037037037
music	20	0.59008940687525	0.8033333333333333	9.8	23.0	0.0	16.0	0.35	0.0	22.6	4.8	41.1	2.15
n/a	65	0.23455896192753695	0.207331714619164	18.83076923076923	38.12307692307692	0.6461538461538462	2.076923076923077	3.076923076923077	0.38461538461538464	9.184615384615384	3.4	44.04615384615385	2.0615384615384613
nautical	9	0.32785608506499997	0.5703703703703704	38.22222222222222	33.44444444444444	0.0	0.0	3.0	0.0	6.444444444444445	0.0	43.22222222222222	7.555555555555555
person	7	0.4688689687402858	0.8399004046062869	30.142857142857142	16.0	4.0	1.0	0.0	1.2857142857142858	21.285714285714285	14.142857142857142	49.0	9.0
plants	55	0.5044081302368781	0.7540378292731236	24.727272727272727	25.163636363636364	1.0727272727272728	0.0	7.418181818181818	10.290909090909091	25.01818181818182	23.472727272727273	31.727272727272727	0.2545454545454545
play	6	0.20933820758	0.15476190476190477	15.5	54.833333333333336	0.0	0.0	0.8333333333333334	0.0	10.833333333333334	3.5	30.333333333333332	0.8333333333333334
publishing	5	0.2194101261066	0.05333333333333333	31.0	23.4	0.0	2.6	2.4	0.0	2.8	6.6	74.2	0.0
religion	4	0.37375283086425004	0.975	39.75	27.75	0.0	1.5	0.0	0.0	15.5	5.5	28.0	9.0
sport	3	0.17544095901766665	0.14285714285714285	15.666666666666666	36.666666666666664	0.0	0.0	1.6666666666666667	0.0	0.0	8.666666666666666	48.666666666666664	4.333333333333333
tourism	13	0.29585071805307694	0.317948717948718	32.38461538461539	25.692307692307693	0.0	1.0769230769230769	0.38461538461538464	0.0	8.76923076923077	2.3846153846153846	42.15384615384615	5.230769230769231
town_planning	11	0.3641316442262727	0.36363636363636365	28.0	30.272727272727273	0.0	0.5454545454545454	0.5454545454545454	0.0	9.454545454545455	2.8181818181818183	50.18181818181818	3.909090909090909
transport	30	0.33420938738996	0.5401875901875902	28.2	35.766666666666666	0.0	3.1666666666666665	1.2	0.0	7.866666666666666	5.9	52.43333333333333	9.6
