has_types	0.02824
	0.57047	carnation
	0.53454	lily
	0.50350	orchid
	0.44940	magnolia
	0.44375	flower
	0.44237	peony
	0.43943	orchids
	0.43273	roses
	0.42232	grape
	0.42190	jasmine
	0.41722	hibiscus
	0.41656	lilies
	0.41357	blossom
	0.41230	nut
	0.41165	geranium
	0.40498	flowers
	0.39878	almond
	0.39775	floral
	0.39298	bouquet
	0.39278	vine
	0.38919	petals
	0.38756	lavender
	0.38320	iris
	0.38169	sandalwood
	0.38034	petal
	0.37954	fruit
	0.37648	bloom
	0.37526	anise
	0.37382	blossoms
	0.36992	glue
	0.36692	fragrant
	0.36611	honeysuckle
	0.35911	blooms
	0.35899	peach
	0.35876	chrysanthemum
	0.35745	grapes
	0.35585	hydrangea
	0.35434	nuts
	0.35434	fern
	0.35243	tulip
	0.35220	vanilla
	0.35188	scented
	0.35177	wine
	0.35114	violets
	0.34778	leaf
	0.34611	fragrance
	0.34501	bud
	0.34473	nectar
	0.34446	musk
	0.34443	varietal
is_upright	0.02915
	0.41192	kangaroo
	0.35763	fence
	0.35739	piano
	0.35447	kangaroos
	0.33362	koala
	0.32332	fences
	0.31746	bottle
	0.28948	enclosure
	0.28745	fencing
	0.28380	bottles
	0.28245	giraffe
	0.28222	fenced
	0.27600	clarinet
	0.27544	harp
	0.27285	harmonica
	0.27182	koalas
	0.26795	accordion
	0.26692	saxophone
	0.25805	concertina
	0.25755	two-year-old
	0.25731	dolphins
	0.25726	dolphin
	0.25628	aquarium
	0.25459	enclosures
	0.25413	guitar
	0.25072	crocodile
	0.24969	zoo
	0.24967	pianist
	0.24762	aviary
	0.24617	acoustic
	0.24567	corral
	0.24506	flute
	0.24189	solo
	0.24135	aquariums
	0.24103	marsupial
	0.24034	pianos
	0.23987	bouncer
	0.23715	backing
	0.23712	cello
	0.23653	four-year-old
	0.23645	reptile
	0.23612	sculpture
	0.23603	violin
	0.23577	animals
	0.23497	pond
	0.23430	bottlenose
	0.23401	alligator
	0.23347	three-year-old
	0.23302	humpback
	0.23282	frogs
does_work	0.03499
	0.49627	ox
	0.38109	horse
	0.36654	ant
	0.35725	horses
	0.35292	oxen
	0.34951	heart
	0.33741	cattle
	0.31609	stubborn
	0.31579	ment
	0.31437	affections
	0.31300	thy
	0.31236	plough
	0.30016	peeler
	0.29989	gallop
	0.29703	industrious
	0.29534	doer
	0.29417	sheep
	0.29273	servant
	0.29265	herd
