is_upright	0.03003
	0.49844	fence
	0.45407	kangaroo
	0.40311	fences
	0.37402	seahorse
	0.33400	perimeter_fence
	0.32651	piano
	0.32330	grand_piano
	0.31709	trampoline
	0.31458	dolphins
	0.31370	wall
	0.30916	barrier
	0.30788	barbed_wire_fence
	0.30628	fencing
	0.30318	quokkas
	0.30141	dolphin
	0.30119	cheetah_cub
	0.29612	bottle
	0.28511	wire_mesh_fence
	0.28386	perspex
	0.28319	cockatoo
	0.28295	enclosure
	0.28217	fence_enclosing
	0.27953	orca
	0.27906	walkway
	0.27740	kangaroos
	0.27692	elevated_walkway
	0.27681	chainlink_fence
	0.27574	lion_cub
	0.27387	outfield_fence
	0.27329	railing
	0.27301	koala
	0.27236	polar_bear_enclosure
	0.27150	rhino_enclosure
	0.26987	violin
	0.26968	palisade_fence
	0.26899	bottles
	0.26885	perimeter_fencing
	0.26884	aviary
	0.26872	fenced
	0.26814	cages
	0.26602	wallaby
	0.26595	marsupials
	0.26551	boxing_kangaroo
	0.26530	newborn_cub
	0.26361	koala_bear
	0.26295	bronze_sculpture
	0.26269	chimpanzee_enclosure
	0.26255	waterhole
	0.26117	wrought_iron_fence
	0.26111	tiki_bar
is_found_in_bible	0.03175
	0.51465	ox
	0.50637	donkey
	0.42250	donkeys
	0.38508	oxen
	0.37887	sandals
	0.37546	dove
	0.36623	camel
	0.35543	dromedaries
	0.35023	camels
	0.34688	locust
	0.34487	shepherds
	0.34441	oxes
	0.34171	sheep
	0.33799	locusts
	0.33722	ostrich
	0.33408	shepherds_tending
	0.32053	camels_goats
	0.31903	camel_caravan
	0.31779	goat
	0.31737	herding_cattle
	0.31525	herder
	0.31398	duiker
	0.31354	unshod
	0.31231	buffalo
	0.31108	cows_sheep_goats
	0.31086	bisons
	0.31076	highland_pastures
	0.31003	cattle_herdsmen
	0.30996	goats
	0.30966	camel_herder
	0.30949	horseback
	0.30704	herdsmen
	0.30609	valiant_knight
	0.30569	herding_sheep
	0.30440	gazelles
	0.30430	sacrificial_slaughter
	0.30312	prostrated_himself
	0.29955	gazelle
	0.29910	gnus
	0.29876	horned_cattle
	0.29856	nomadic_Fulani
	0.29825	nomadic_herdsmen
	0.29737	herders
	0.29723	buffalos
	0.29660	sheeps
	0.29631	shepherd
	0.29605	mud_splattered
	0.29519	pastoral_nomads
	0.29511	maned_lion
	0.29493	jackal
is_hardy	0.03268
	0.51741	fir
	0.44509	goat
	0.41481	fern
	0.40575	firs
	0.35670	fir_trees
	0.35592	jeep
	0.35373	barberry
	0.35137	goats
	0.35128	rhododendron
	0.34929	acacia_tree
	0.34914	hemlock_woolly_adelgids
	0.34894	latifolia
	0.34881	shrub
	0.34638	highlander
	0.34247	acacias
	0.34089	indicus
	0.33874	tanoak
	0.33856	dogwood_Cornus
	0.33840	deodar_trees
	0.33731	balsam_woolly_adelgid
	0.33730	deodar
	0.33725	leopard_cub
	0.33449	virginiana
	0.33403	cycad
	0.33393	yellowwood
	0.33322	pinus
	0.33320	indica
	0.33117	gaur
	0.33097	pine_trees
	0.33047	tree
	0.32984	guenon
	0.32979	saplings
	0.32921	neem_tree
	0.32909	junipers
	0.32879	japonicum
	0.32826	grandis
	0.32751	neem_trees
	0.32620	macrophylla
	0.32598	viburnum
	0.32524	markhor
	0.32498	oleanders
	0.32439	acacia
	0.32395	oleander
	0.32353	beetle
	0.32328	oak_Quercus
	0.32231	evergreen_tree
	0.32150	thornless
	0.32115	tipu
	0.32083	sandalwood_trees
	0.32050	mexicana
is_triangular	0.03582
	0.47007	pyramid
	0.38199	trowel
	0.35967	sandwich
	0.33678	shawl
	0.33378	nose
	0.33370	boomerang
	0.29420	pizza_crust
	0.29129	crust
	0.27319	crusts
	0.27262	plaque
	0.27003	doorframe
	0.26922	charkha_spinning_wheel
	0.26879	protective_shield
	0.26825	pastry
	0.26803	bended
	0.26799	tortilla
	0.26685	cheek
	0.26607	ziggurat
	0.26332	pita
	0.26329	burger_patty
	0.26280	forehead
	0.26261	scarf
	0.26248	flatbread
	0.26178	chisel
	0.26085	tilak_religious
	0.25775	forefinger
	0.25739	pallu
	0.25733	stone
	0.25728	apron
	0.25724	fondant_icing
	0.25708	foreheads
	0.25661	belt_loops
	0.25659	velvet_glove
	0.25650	shoulder_blades
	0.25640	concentric_circles
	0.25636	sash
	0.25620	devil_horns
	0.25613	handkerchief
	0.25574	pyramids
	0.25571	grilled_cheese
	0.25494	graven
	0.25454	bun
	0.25395	whipped_cream_pie
	0.25395	bricks
	0.25341	pretzel
	0.25261	red_biretta
	0.25217	cracker_crust
	0.25206	indentation
	0.25190	clenched_fist
	0.25165	headpiece
has_no_legs	0.04367
	0.53651	worm
	0.44127	slug
	0.39835	worms
	0.38491	eel
	0.38463	rattlesnake
	0.38249	parasite
	0.35418	piranha
	0.34715	protozoan
	0.34345	trematodes
	0.33929	virus
	0.33737	amoeba
	0.32975	mitten_crabs
	0.32535	bug
	0.32535	spokeswoman_Kelley_Podboy
	0.32484	envenomation
	0.32377	parasitic_worm
	0.32294	http://www.sco.com
	0.32061	histolytica
	0.31950	leotard
	0.31700	cane_toad
	0.31405	northern_snakehead
	0.31375	nematodes_microscopic
	0.31123	toxoplasma_gondii
	0.31001	northern_snakehead_fish
	0.30994	spider
	0.30867	propagating_malware
	0.30830	infector
	0.30776	backdoor_Trojan
	0.30771	water_moccasin
	0.30731	toad
	0.30670	flesh_eating
	0.30636	cottonmouth
	0.30547	waterborne_parasite
	0.30443	hognose
	0.30305	mako_shark
	0.30204	transmit_dengue
	0.30149	round_goby
	0.30093	trojan
	0.30057	chytrid_fungus_Batrachochytrium_dendrobatidis
	0.30019	bacterial_invaders
	0.29971	carp
	0.29917	stingray
	0.29911	hobo_spider
	0.29911	sandflies
	0.29882	pox_virus
	0.29847	snail
	0.29846	spur_throated_locust
	0.29802	saber_toothed
	0.29774	brucei
	0.29773	neurona
has_a_string	0.05291
	0.38726	yoyo
	0.37669	whistle
	0.36350	mask
	0.33800	kite
	0.30494	crossbow
	0.28484	yo_yo
	0.28300	masks
	0.26615	slam_dunking
	0.26485	kites
	0.25479	acrobatics
	0.25266	experinced
	0.24476	cumulating
	0.24329	psycological
	0.24272	human_cannonball
	0.24213	glass_coated_manja
	0.24083	sabers
	0.23917	light_saber
	0.23912	levitation
	0.23895	kite_flying
	0.23782	aerobatics
	0.23765	karate_chops
	0.23745	light_sabers
	0.23721	magic_tricks
	0.23200	thundersticks
	0.23189	ballon
	0.23180	swordfighting
	0.23172	whistles
	0.23069	lightsabre
	0.23004	sch
	0.22803	blowing_bubbles
	0.22792	analy
	0.22604	gravity_defying_stunts
	0.22538	chi_gung
	0.22486	daredevil_stunt
	0.22480	blaster
	0.22391	acrobatic_maneuvers
	0.22371	chinging
	0.22358	keepie_uppie
	0.22314	signes
	0.22307	phaser
	0.22251	folllowing
	0.22236	lled
	0.22198	acrobatic
	0.22180	yo_yos
	0.22149	wield_lightsaber
	0.22085	legend_Ray_Harryhausen
	0.22062	lightspeed
	0.22039	teleporting
	0.22034	kite_flyer
	0.21996	roundhouse_kicks
does_work	0.05357
	0.50598	ox
	0.37386	horse
	0.34994	heart
	0.34944	trainer_Buck_Brannaman
	0.32789	mop
	0.31967	ant
	0.30997	equine_protozoal_myeloencephalitis_EPM
	0.30267	horses
	0.29950	thoroughbred
	0.29006	guts
	0.28557	pioneered_reversible_vasectomies
	0.28284	horseman
	0.28278	fetlocks
	0.28161	oxes
	0.27992	stallion
	0.27763	gallops
	0.27691	equine
	0.27655	owner_Edmund_Gann
	0.27651	herding_instinct
	0.27642	viruses_spyware_Trojan
	0.27629	bucked_shins
	0.27617	suspensory_ligaments
	0.27479	bowed_tendon
	0.27319	scopey
	0.27111	mule
	0.26941	stamina
	0.26874	intercranial
	0.26770	equine_veterinarian
	0.26683	dark_bay_colt
	0.26602	laryngeal_hemiplegia
	0.26471	tireless_worker
	0.26465	myectomy
	0.26433	peeler
	0.26313	viruses_trojan
	0.26255	biliary_drainage
	0.26240	saddlebred
	0.26156	bucking_bull
	0.26133	stud
	0.25957	intestinal_fortitude
	0.25902	gelded
	0.25786	lactic_acid_buildup
	0.25727	firster
	0.25677	racehorses
	0.25639	lion_hearted
	0.25618	laminitic
	0.25583	thoroughbred_horse
	0.25524	thoroughbred_stallion
	0.25489	willpower
	0.25478	frothy_bloat
	0.25441	viruses_worms_Trojan
is_necessary_essential	0.07937
	0.37071	bra
	0.34156	arm
	0.31689	helmet
	0.29184	toilet
	0.27251	coffee
	0.26444	bras
	0.25886	restroom
	0.24558	undergarments
	0.24061	washroom
	0.23967	urinal
	0.23005	lactation_rooms
	0.22787	body_armor
	0.22451	surgically_repaired_hip
	0.22330	neck_brace
	0.22180	helmets
	0.22118	brassiere
	0.21761	sanitary_napkin
	0.21734	breastfeeding
	0.21687	paper_towel_dispenser
	0.21567	muscle_stimulator
	0.21539	compression_garments
	0.21478	restraints
	0.21446	chin_strap
	0.21343	armored_vests
	0.21335	underwear
	0.21192	bathroom
	0.21107	telecom_munications
	0.21035	seat_belt
	0.21010	undergarment
	0.20768	motorpool
	0.20553	toilets
	0.20472	spokesman_Wong_Yongping
	0.20447	concessionaire_Aramark
	0.20353	insti_tutions
	0.20342	compression_socks
	0.20301	iced_grande
	0.20264	bone_stimulator
	0.20262	protective_eyewear
	0.20159	underwire_bra
	0.20054	locker_rooms
	0.19973	serivces
	0.19968	surgically_repaired_knee
	0.19850	bullet_resistant
	0.19828	cervical_spine_injury
	0.19825	prosthetic_orthotic
	0.19813	orange_minidresses
	0.19795	data_terminals_MDTs
	0.19762	headset
	0.19732	diaper
	0.19721	prosthetic_limb
is_inanimate	0.08485
	0.41999	rock
	0.30071	star_Farhad_Darya
	0.29618	puppet
	0.29179	lushly_layered
	0.29133	turntable
	0.28949	stone
	0.27893	needle
	0.27480	aristocrats_sipped_champagne
	0.27138	percussionist
	0.27024	music
	0.26850	bin
	0.26798	band
	0.26552	rocks
	0.25940	percussion
	0.25880	frontman_Alexi_Laiho
	0.25806	percussionists
	0.25762	duo_Blackalicious
	0.25700	unplugged_acoustic
	0.25601	hip-hop/rock
	0.25427	stoner_doom
	0.25199	pianos_guitars
	0.25121	avant_folk
	0.24881	drums
	0.24793	drummer_Tyshawn_Sorey
	0.24618	vocalist
	0.24579	musician
	0.24562	singer_Cristina_Scabbia
	0.24537	squalling_guitars
	0.24537	camera
	0.24500	soundboard
	0.24356	musicians
	0.24343	marimba
	0.24257	mighty_Wurlitzer
	0.24149	singer_Pierre_Bouvier
	0.24102	orchestral_ensembles
	0.24033	electroacoustic
	0.24013	mic
	0.23995	alt_rock
	0.23988	oud_lute
	0.23923	boomboxes
	0.23884	band_Parikrama
	0.23853	keyboardist_guitarist
	0.23843	synthesizer_riff
	0.23711	flammable_soundproofing
	0.23654	aural_collage
	0.23634	guitarists_bassists
	0.23566	mewithoutYou
	0.23531	santour
	0.23492	keyboardist
	0.23449	twiddling_knobs
has_soft_flesh	0.09449
	0.39657	melon
	0.37532	watermelon
	0.35358	flowers_Dangot
	0.35263	tomato
	0.34943	pawpaws
	0.34803	peaches
	0.34525	navel_oranges
	0.34014	sweet_bell_peppers
	0.33514	mango
	0.33438	stonefruit
	0.32993	satsuma
	0.32941	kale_turnips
	0.32183	heirloom_tomato
	0.32139	sweet_potato
	0.32014	peach_plum
	0.31939	strawberries
	0.31913	satsumas
	0.31839	strawberry
	0.31803	cauliflower
	0.31760	melons
	0.31750	sweet_peppers
	0.31638	plums_peaches
	0.31464	avocados
	0.31457	nectarines
	0.31317	cherry_tomatoes
	0.31260	strawberry_growers
	0.31216	durian_mangosteen
	0.31166	grower_packer_shipper
	0.30955	cauliflower_cabbage
	0.30746	grower_shipper
	0.30718	citrus_fruit
	0.30646	avocado
	0.30634	oranges_tangerines
	0.30541	aubergine
	0.30536	review_aggregator_Rotten
	0.30520	watermelons
	0.30520	carnaroli_rice
	0.30425	cabbages_broccoli
	0.30336	grower_shippers
	0.30297	basil_sorbet
	0.30286	apricots
	0.30255	cantaloupes_watermelons
	0.30248	rice_coarse_cereals
	0.30245	prawn
	0.30228	romas
	0.30222	citrus_fruits
	0.30208	watermelons_cantaloupes
	0.30176	tomatoes
	0.30138	muskmelon
	0.30061	grapefruit_oranges
is_any_shape	0.09459
	0.36771	window
	0.32697	mirror
	0.31135	eyes
	0.30278	button
	0.29540	pane
	0.29296	door
	0.28566	ear
	0.27338	buttom
	0.27015	prism
	0.26746	lens
	0.25910	doors
	0.25900	camera_lens
	0.25450	magnifier
	0.25281	buttons
	0.24053	nasdaq_WFC
	0.23935	floor_underfoot_creaked
	0.23806	reselect
	0.23781	iPLATO_Patient_Care
	0.23613	softkey
	0.23587	tabs
	0.23456	instant
	0.23452	mouths
	0.23439	innovative_Akatsuki_spacecraft
	0.23424	stickers_plastered
	0.23296	bag
	0.23034	windows
	0.23021	eye
	0.22730	spacebar
	0.22688	crystalize
	0.22658	ears
	0.22560	proactively_notifies
	0.22292	navigation_pane
	0.22163	telescoping_mirrors
	0.22028	rearview
	0.21962	keypress
	0.21921	magnification
	0.21800	dispenser
	0.21772	standardises
	0.21738	torwards
	0.21693	dashboard
