concept	dendrogram: 6; wordnet: 6	dendrogram: 6; wordnet: 7	dendrogram: 6; wordnet: 8	dendrogram: 7; wordnet: 6	dendrogram: 7; wordnet: 7	dendrogram: 7; wordnet: 8	dendrogram: 8; wordnet: 6	dendrogram: 8; wordnet: 7	dendrogram: 8; wordnet: 8	dendrogram: 0.7; wordnet: 6	dendrogram: 0.7; wordnet: 7	dendrogram: 0.7; wordnet: 8	dendrogram: 0.8; wordnet: 6	dendrogram: 0.8; wordnet: 7	dendrogram: 0.8; wordnet: 8	dendrogram: 0.9; wordnet: 6	dendrogram: 0.9; wordnet: 7	dendrogram: 0.9; wordnet: 8
fawn	0.9732142857142857	0.8571428571428571	0.8571428571428571	0.9696969696969697	0.9696969696969697	0.9696969696969697	0.9692307692307692	0.9692307692307692	0.9692307692307692	0.9696969696969697	0.9696969696969697	0.9696969696969697	0.9736842105263158	0.8596491228070176	0.8596491228070176	0.28793774319066145	0.23540856031128404	0.23540856031128404
gown	0.8529411764705882	0.8529411764705882	0.7352941176470589	0.84375	0.84375	0.75	0.8387096774193549	0.8387096774193549	0.7419354838709677	0.84375	0.84375	0.75	0.8529411764705882	0.8529411764705882	0.7352941176470589	0.08949416342412451	0.07587548638132295	0.058365758754863814
pheasant	0.9732142857142857	0.8482142857142857	0.8482142857142857	0.9696969696969697	0.9595959595959596	0.9595959595959596	0.9696969696969697	0.9696969696969697	0.9696969696969697	0.9696969696969697	0.9595959595959596	0.9595959595959596	0.9736842105263158	0.8508771929824561	0.8508771929824561	0.27431906614785995	0.23151750972762647	0.23151750972762647
chain	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.0	0.0	0.0	0.6666666666666666	0.0	0.0	0.32490272373540857	0.03501945525291829	0.0019455252918287938
peacock	0.9732142857142857	0.9553571428571429	0.9375	0.9696969696969697	0.9595959595959596	0.9595959595959596	0.9696969696969697	0.9696969696969697	0.9696969696969697	0.9696969696969697	0.9595959595959596	0.9595959595959596	0.9736842105263158	0.956140350877193	0.9385964912280702	0.27431906614785995	0.26848249027237353	0.2587548638132296
skis	0.17391304347826086	0.0	0.0	0.17777777777777778	0.0	0.0	0.13157894736842105	0.0	0.0	0.0	0.0	0.0	0.17777777777777778	0.0	0.0	0.21206225680933852	0.0	0.0
crocodile	0.9732142857142857	0.8482142857142857	0.8482142857142857	0.9696969696969697	0.9595959595959596	0.9595959595959596	0.9692307692307692	0.9538461538461539	0.9538461538461539	0.9696969696969697	0.9595959595959596	0.9595959595959596	0.9736842105263158	0.8508771929824561	0.8508771929824561	0.27431906614785995	0.23151750972762647	0.23151750972762647
tuba	1.0	1.0	0.5625	1.0	1.0	0.6	1.0	1.0	0.5714285714285714	0.9444444444444444	0.9444444444444444	0.5555555555555556	0.9047619047619048	0.8095238095238095	0.47619047619047616	0.21206225680933852	0.03501945525291829	0.019455252918287938
dish	0.44666666666666666	0.06	0.02	0.6419753086419753	0.09876543209876543	0.037037037037037035	0.7317073170731707	0.17073170731707318	0.07317073170731707	0.7317073170731707	0.17073170731707318	0.07317073170731707	0.44666666666666666	0.06	0.02	0.39883268482490275	0.042801556420233464	0.01556420233463035
chair	0.4066666666666667	0.12666666666666668	0.02666666666666667	0.35294117647058826	0.17647058823529413	0.04411764705882353	0.38095238095238093	0.19047619047619047	0.047619047619047616	0.7368421052631579	0.5263157894736842	0.15789473684210525	0.4066666666666667	0.12666666666666668	0.02666666666666667	0.3424124513618677	0.11284046692607004	0.011673151750972763
carpet	0.11333333333333333	0.0	0.0	0.22058823529411764	0.0	0.0	0.23809523809523808	0.0	0.0	0.6842105263157895	0.0	0.0	0.11333333333333333	0.0	0.0	0.03696498054474708	0.0	0.0
trolley	0.7391304347826086	0.6956521739130435	0.43478260869565216	0.7333333333333333	0.6888888888888889	0.4222222222222222	0.7631578947368421	0.7368421052631579	0.42105263157894735	1.0	1.0	1.0	0.7333333333333333	0.6888888888888889	0.4222222222222222	0.14007782101167315	0.07392996108949416	0.04474708171206226
