concept	dendrogram: 6; wordnet: 6	dendrogram: 6; wordnet: 7	dendrogram: 6; wordnet: 8	dendrogram: 7; wordnet: 6	dendrogram: 7; wordnet: 7	dendrogram: 7; wordnet: 8	dendrogram: 8; wordnet: 6	dendrogram: 8; wordnet: 7	dendrogram: 8; wordnet: 8	dendrogram: 0.7; wordnet: 6	dendrogram: 0.7; wordnet: 7	dendrogram: 0.7; wordnet: 8	dendrogram: 0.8; wordnet: 6	dendrogram: 0.8; wordnet: 7	dendrogram: 0.8; wordnet: 8	dendrogram: 0.9; wordnet: 6	dendrogram: 0.9; wordnet: 7	dendrogram: 0.9; wordnet: 8
fawn	0.9904761904761905	0.8857142857142857	0.8857142857142857	1.0	1.0	1.0	1.0	1.0	1.0	n/a	n/a	n/a	1.0	1.0	1.0	1.0	1.0	1.0
bagpipe	0.3761467889908257	0.08256880733944955	0.045871559633027525	0.42105263157894735	0.09473684210526316	0.05263157894736842	0.34375	0.234375	0.125	1.0	1.0	0.5333333333333333	1.0	1.0	0.5333333333333333	0.9375	0.9375	0.5
pheasant	0.9904761904761905	0.8666666666666667	0.8666666666666667	0.9795918367346939	0.7551020408163265	0.7551020408163265	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9795918367346939	0.7551020408163265	0.7551020408163265
chain	0.44954128440366975	0.05045871559633028	0.0045871559633027525	0.49473684210526314	0.05789473684210526	0.005263157894736842	0.544	0.08	0.008	0.8333333333333334	0.5	0.0	0.6666666666666666	0.2	0.0	0.5384615384615384	0.1346153846153846	0.0
gown	0.6382978723404256	0.6382978723404256	0.5319148936170213	0.7631578947368421	0.7631578947368421	0.631578947368421	0.9333333333333333	0.9333333333333333	0.8	1.0	1.0	1.0	1.0	1.0	0.9375	0.9629629629629629	0.9629629629629629	0.8148148148148148
mackerel	0.26595744680851063	0.18085106382978725	0.18085106382978725	0.28735632183908044	0.19540229885057472	0.19540229885057472	0.7096774193548387	0.4838709677419355	0.4838709677419355	1.0	0.8461538461538461	0.8461538461538461	1.0	0.6470588235294118	0.6470588235294118	0.7096774193548387	0.4838709677419355	0.4838709677419355
crocodile	0.0851063829787234	0.06382978723404255	0.06382978723404255	0.5	0.375	0.375	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5	0.375	0.375
tuba	0.3761467889908257	0.08256880733944955	0.045871559633027525	0.42105263157894735	0.09473684210526316	0.05263157894736842	0.34375	0.234375	0.125	1.0	1.0	0.5333333333333333	1.0	1.0	0.5333333333333333	0.9375	0.9375	0.5
dish	0.6146788990825688	0.05504587155963303	0.01834862385321101	0.5842105263157895	0.06315789473684211	0.021052631578947368	0.664	0.08	0.024	1.0	1.0	0.6666666666666666	0.7142857142857143	0.42857142857142855	0.2857142857142857	0.6111111111111112	0.16666666666666666	0.1111111111111111
chair	1.0	1.0	1.0	n/a	n/a	n/a	n/a	n/a	n/a	1.0	1.0	1.0	0.8	0.6	0.4	0.8	0.6	0.4
carpet	1.0	0.0	0.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
trolley	0.30275229357798167	0.1651376146788991	0.0963302752293578	0.8888888888888888	0.8148148148148148	0.7407407407407407	0.9545454545454546	0.9090909090909091	0.8181818181818182	1.0	1.0	1.0	1.0	1.0	1.0	0.9523809523809523	0.9047619047619048	0.8095238095238095
earmuffs	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0
apartment	0.01834862385321101	0.0	0.0	0.021052631578947368	0.0	0.0	0.0625	0.0	0.0	n/a	n/a	n/a	0.6666666666666666	0.0	0.0	0.5	0.0	0.0
grape	0.6382978723404256	0.6276595744680851	0.3617021276595745	0.632183908045977	0.6206896551724138	0.39080459770114945	0.8909090909090909	0.8909090909090909	0.5818181818181818	1.0	1.0	0.9583333333333334	1.0	1.0	0.96	0.8909090909090909	0.8909090909090909	0.5818181818181818
swan	0.9904761904761905	0.8666666666666667	0.8666666666666667	0.9795918367346939	0.7551020408163265	0.7551020408163265	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9795918367346939	0.7551020408163265	0.7551020408163265
shack	0.0045871559633027525	0.0045871559633027525	0.0	0.005263157894736842	0.005263157894736842	0.0	0.015625	0.015625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bike	0.30275229357798167	0.1651376146788991	0.0963302752293578	0.8888888888888888	0.8148148148148148	0.7407407407407407	0.9545454545454546	0.9090909090909091	0.8181818181818182	1.0	1.0	1.0	1.0	1.0	1.0	0.9523809523809523	0.9047619047619048	0.8095238095238095
trousers	0.6382978723404256	0.6382978723404256	0.48936170212765956	0.7631578947368421	0.7631578947368421	0.5789473684210527	0.9333333333333333	0.9333333333333333	0.7333333333333333	n/a	n/a	n/a	1.0	1.0	0.8125	0.9629629629629629	0.9629629629629629	0.7407407407407407
skis	0.3761467889908257	0.0	0.0	0.42105263157894735	0.0	0.0	0.34375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17647058823529413	0.0	0.0
ladle	0.22935779816513763	0.05504587155963303	0.0	0.14736842105263157	0.06315789473684211	0.0	0.176	0.08	0.0	0.16666666666666666	0.0	0.0	0.06666666666666667	0.0	0.0	0.038461538461538464	0.0	0.0
screwdriver	0.21100917431192662	0.11009174311926606	0.05045871559633028	0.23684210526315788	0.12105263157894737	0.05263157894736842	0.336	0.184	0.08	0.8461538461538461	0.7692307692307693	0.46153846153846156	0.8	0.7333333333333333	0.4	0.4423076923076923	0.34615384615384615	0.15384615384615385
baton	0.19724770642201836	0.013761467889908258	0.0	0.22631578947368422	0.015789473684210527	0.0	0.32	0.008	0.0	n/a	n/a	n/a	0.0	0.0	0.0	0.1111111111111111	0.0	0.0
spoon	0.2798165137614679	0.06422018348623854	0.009174311926605505	0.20526315789473684	0.07368421052631578	0.010526315789473684	0.256	0.088	0.016	0.3333333333333333	0.16666666666666666	0.16666666666666666	0.2	0.13333333333333333	0.06666666666666667	0.1346153846153846	0.07692307692307693	0.038461538461538464
chapel	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.0	1.0	0.5	1.0	1.0	0.5	1.0	1.0	0.5
level	0.38990825688073394	0.0	0.0	0.4368421052631579	0.0	0.0	0.464	0.0	0.0	n/a	n/a	n/a	0.3333333333333333	0.0	0.0	0.46153846153846156	0.0	0.0
asparagus	0.6063829787234043	0.5957446808510638	0.2127659574468085	0.5977011494252874	0.5862068965517241	0.22988505747126436	0.8363636363636363	0.8363636363636363	0.34545454545454546	0.9523809523809523	0.9523809523809523	0.7142857142857143	0.7777777777777778	0.7777777777777778	0.5555555555555556	0.8363636363636363	0.8363636363636363	0.34545454545454546
gun	0.555045871559633	0.1834862385321101	0.12844036697247707	0.6210526315789474	0.20526315789473684	0.14210526315789473	0.72	0.288	0.208	1.0	1.0	0.75	1.0	0.8571428571428571	0.7142857142857143	0.9375	0.8125	0.625
saxophone	0.3761467889908257	0.08256880733944955	0.045871559633027525	0.42105263157894735	0.09473684210526316	0.05263157894736842	0.34375	0.234375	0.125	1.0	1.0	0.5333333333333333	1.0	1.0	0.5333333333333333	0.9375	0.9375	0.5
subway	0.022935779816513763	0.0045871559633027525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
radio	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
fence	0.11926605504587157	0.01834862385321101	0.0045871559633027525	0.13157894736842105	0.021052631578947368	0.005263157894736842	0.109375	0.046875	0.015625	0.18181818181818182	0.18181818181818182	0.0	0.26666666666666666	0.13333333333333333	0.0	0.20588235294117646	0.08823529411764706	0.029411764705882353
crow	0.9904761904761905	0.8666666666666667	0.8666666666666667	0.9795918367346939	0.7551020408163265	0.7551020408163265	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9795918367346939	0.7551020408163265	0.7551020408163265
grasshopper	0.2872340425531915	0.07446808510638298	0.031914893617021274	0.28735632183908044	0.08045977011494253	0.034482758620689655	0.03636363636363636	0.0	0.0	1.0	0.0	0.0	0.07407407407407407	0.0	0.0	0.03636363636363636	0.0	0.0
boots	0.2127659574468085	0.06382978723404255	0.06382978723404255	0.23684210526315788	0.07894736842105263	0.07894736842105263	0.8571428571428571	0.2857142857142857	0.2857142857142857	1.0	0.4	0.4	0.8333333333333334	0.3333333333333333	0.3333333333333333	0.8571428571428571	0.2857142857142857	0.2857142857142857
pajamas	0.6382978723404256	0.6382978723404256	0.48936170212765956	0.7631578947368421	0.7631578947368421	0.5789473684210527	0.9333333333333333	0.9333333333333333	0.7333333333333333	n/a	n/a	n/a	0.5	0.5	0.5	0.5	0.5	0.5
blouse	0.6382978723404256	0.6382978723404256	0.0851063829787234	0.7631578947368421	0.7631578947368421	0.10526315789473684	0.9333333333333333	0.9333333333333333	0.13333333333333333	1.0	1.0	0.4	1.0	1.0	0.25	0.9629629629629629	0.9629629629629629	0.14814814814814814
clock	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
revolver	0.3944954128440367	0.11926605504587157	0.0871559633027523	0.4421052631578947	0.1368421052631579	0.1	0.456	0.168	0.136	0.875	0.875	0.75	0.8571428571428571	0.7857142857142857	0.7142857142857143	0.8125	0.75	0.625
pine	0.6170212765957447	0.5957446808510638	0.2553191489361702	1.0	0.6666666666666666	0.6666666666666666	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
unicycle	0.30275229357798167	0.1651376146788991	0.0963302752293578	0.8888888888888888	0.8148148148148148	0.7407407407407407	0.9545454545454546	0.9090909090909091	0.8181818181818182	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
camisole	0.6382978723404256	0.6382978723404256	0.5319148936170213	0.7631578947368421	0.7631578947368421	0.631578947368421	0.9333333333333333	0.9333333333333333	0.8	n/a	n/a	n/a	1.0	1.0	0.9375	0.9629629629629629	0.9629629629629629	0.8148148148148148
muzzle	0.14893617021276595	0.06382978723404255	0.0	0.15789473684210525	0.05263157894736842	0.0	0.5714285714285714	0.14285714285714285	0.0	n/a	n/a	n/a	n/a	n/a	n/a	0.5714285714285714	0.14285714285714285	0.0
