concept	dendrogram: 6; wordnet: 6	dendrogram: 6; wordnet: 7	dendrogram: 6; wordnet: 8	dendrogram: 7; wordnet: 6	dendrogram: 7; wordnet: 7	dendrogram: 7; wordnet: 8	dendrogram: 8; wordnet: 6	dendrogram: 8; wordnet: 7	dendrogram: 8; wordnet: 8	dendrogram: 0.7; wordnet: 6	dendrogram: 0.7; wordnet: 7	dendrogram: 0.7; wordnet: 8	dendrogram: 0.8; wordnet: 6	dendrogram: 0.8; wordnet: 7	dendrogram: 0.8; wordnet: 8	dendrogram: 0.9; wordnet: 6	dendrogram: 0.9; wordnet: 7	dendrogram: 0.9; wordnet: 8
accordion	1.0	1.0	0.6666666666666666	1.0	1.0	0.7142857142857143	1.0	1.0	0.6923076923076923	1.0	1.0	0.6875	1.0	1.0	0.6875	0.8571428571428571	0.8095238095238095	0.5714285714285714
airplane	0.5606060606060606	0.5303030303030303	0.16666666666666666	0.7021276595744681	0.6808510638297872	0.2127659574468085	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.7777777777777778	0.7777777777777778	0.7777777777777778	0.5606060606060606	0.5303030303030303	0.16666666666666666
alligator	0.9813084112149533	0.8598130841121495	0.8598130841121495	1.0	0.8723404255319149	0.8723404255319149	1.0	0.875	0.875	1.0	1.0	1.0	1.0	0.875	0.875	0.9814814814814815	0.8611111111111112	0.8611111111111112
ambulance	0.5757575757575758	0.5303030303030303	0.30303030303030304	0.723404255319149	0.6808510638297872	0.425531914893617	0.7352941176470589	0.6764705882352942	0.5882352941176471	0.9375	0.875	0.875	0.8421052631578947	0.7894736842105263	0.7894736842105263	0.5757575757575758	0.5303030303030303	0.30303030303030304
anchor	0.25	0.0	0.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.5	0.16666666666666666	0.16666666666666666
ant	0.9813084112149533	0.11214953271028037	0.09345794392523364	1.0	0.11702127659574468	0.09574468085106383	1.0	0.13793103448275862	0.13793103448275862	n/a	n/a	n/a	1.0	0.18181818181818182	0.18181818181818182	0.9814814814814815	0.1111111111111111	0.09259259259259259
apartment	0.14285714285714285	0.0	0.0	0.21428571428571427	0.0	0.0	0.2727272727272727	0.0	0.0	0.2727272727272727	0.0	0.0	0.12	0.0	0.0	0.1111111111111111	0.0	0.0
apple	0.7349397590361446	0.7349397590361446	0.42168674698795183	0.7407407407407407	0.7407407407407407	0.43209876543209874	0.7297297297297297	0.7297297297297297	0.3918918918918919	1.0	1.0	0.9047619047619048	0.7297297297297297	0.7297297297297297	0.3918918918918919	0.7380952380952381	0.7380952380952381	0.42857142857142855
apron	0.273972602739726	0.2191780821917808	0.0	0.5166666666666667	0.5	0.0	0.5849056603773585	0.5660377358490566	0.0	0.8461538461538461	0.8461538461538461	0.0	0.8529411764705882	0.8529411764705882	0.0	0.273972602739726	0.2191780821917808	0.0
armour	0.0547945205479452	0.0	0.0	0.11666666666666667	0.0	0.0	0.1320754716981132	0.0	0.0	n/a	n/a	n/a	0.0	0.0	0.0	0.0547945205479452	0.0	0.0
ashtray	0.1095890410958904	0.0136986301369863	0.0	0.17647058823529413	0.023529411764705882	0.0	0.18292682926829268	0.024390243902439025	0.0	0.0	0.0	0.0	0.16666666666666666	0.0	0.0	0.1095890410958904	0.0136986301369863	0.0
asparagus	0.7108433734939759	0.6987951807228916	0.26506024096385544	0.7160493827160493	0.7037037037037037	0.2716049382716049	0.7027027027027027	0.6891891891891891	0.2972972972972973	0.8387096774193549	0.8387096774193549	0.5483870967741935	0.7027027027027027	0.6891891891891891	0.2972972972972973	0.7142857142857143	0.7023809523809523	0.2619047619047619
avocado	0.7349397590361446	0.7349397590361446	0.42168674698795183	0.7407407407407407	0.7407407407407407	0.43209876543209874	0.7297297297297297	0.7297297297297297	0.3918918918918919	0.8387096774193549	0.8387096774193549	0.16129032258064516	0.7297297297297297	0.7297297297297297	0.3918918918918919	0.7380952380952381	0.7380952380952381	0.42857142857142855
axe	0.23972602739726026	0.1095890410958904	0.03424657534246575	0.4117647058823529	0.18823529411764706	0.058823529411764705	0.4268292682926829	0.1951219512195122	0.06097560975609756	0.5	0.25	0.25	0.7083333333333334	0.5416666666666666	0.16666666666666666	0.23972602739726026	0.1095890410958904	0.03424657534246575
bag	0.22602739726027396	0.03424657534246575	0.00684931506849315	0.29411764705882354	0.023529411764705882	0.0	0.2926829268292683	0.024390243902439025	0.0	0.8	0.0	0.0	0.3888888888888889	0.0	0.0	0.22602739726027396	0.03424657534246575	0.00684931506849315
bagpipe	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.0	1.0	0.5625	1.0	1.0	0.5625	0.8571428571428571	0.8095238095238095	0.47619047619047616
ball	0.5217391304347826	0.2608695652173913	0.08695652173913043	0.5882352941176471	0.23529411764705882	0.0	0.6	0.26666666666666666	0.0	n/a	n/a	n/a	0.875	0.375	0.0	0.5217391304347826	0.2608695652173913	0.08695652173913043
balloon	0.5606060606060606	0.5303030303030303	0.16666666666666666	0.7021276595744681	0.6808510638297872	0.2127659574468085	0.6666666666666666	0.6666666666666666	0.6666666666666666	n/a	n/a	n/a	0.0	0.0	0.0	0.5606060606060606	0.5303030303030303	0.16666666666666666
banana	0.7349397590361446	0.7349397590361446	0.5421686746987951	0.7407407407407407	0.7407407407407407	0.5555555555555556	0.7297297297297297	0.7297297297297297	0.5945945945945946	1.0	1.0	0.9523809523809523	0.7297297297297297	0.7297297297297297	0.5945945945945946	0.7380952380952381	0.7380952380952381	0.5476190476190477
banjo	1.0	1.0	0.4	1.0	1.0	0.42857142857142855	1.0	1.0	0.38461538461538464	1.0	1.0	0.375	1.0	1.0	0.375	0.8571428571428571	0.8095238095238095	0.2857142857142857
banner	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0
barn	0.42857142857142855	0.0	0.0	0.42857142857142855	0.0	0.0	0.5454545454545454	0.0	0.0	0.5454545454545454	0.0	0.0	0.36	0.0	0.0	0.37037037037037035	0.0	0.0
barrel	0.5	0.0	0.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.5	0.0	0.0
